"","Stage1","Stage3","Stage5","Stage7","cluster"
"FakeGeneID010210",0.796637339375465,0.157402279275088,0.355055251405134,-1.30909487005569,2
"FakeGeneID019243",-0.83259632856887,-0.854495186796624,1.14124020060863,0.545851314756868,4
"FakeGeneID022681",-0.898023140817978,-0.877441916873943,1.01515333602225,0.760311721669671,7
"FakeGeneID011122",0.678150684773283,1.05227221501448,-0.555644432946863,-1.1747784668409,1
"FakeGeneID013520",1.01992506669362,0.535337938153315,-0.589425963848887,-0.965837040998047,1
"FakeGeneID026656",-1.2367830763207,-0.298836534710626,1.04112861614384,0.494490994887489,9
"FakeGeneID009396",0.651719871441053,1.13355709812651,-0.690255657825668,-1.0950213117419,1
"FakeGeneID028518",-1.1541851446498,-0.624117827695891,1.02928190516865,0.74902106717704,9
"FakeGeneID025989",-0.78097634542729,-0.978541688947581,0.775177290364265,0.984340744010606,3
"FakeGeneID001015",1.03000832776044,0.360460195680015,-0.716010600875434,-0.674457922565019,8
"FakeGeneID036757",1.36458468263839,-0.218823970289589,-0.266904186579958,-0.878856525768843,2
"FakeGeneID017253",-0.686066071962855,-0.930275564172586,0.450664832780283,1.16567680335516,3
"FakeGeneID033484",-1.02743673283012,-0.548240690769844,0.604007178711172,0.971670244888796,9
"FakeGeneID020610",0.946554106210441,0.834457002666472,-0.841406316152949,-0.939604792723963,8
"FakeGeneID000765",-0.551589529547072,-1.06826805717448,0.922165975071771,0.697691611649785,7
"FakeGeneID005570",-0.924977450666809,-0.918980802221006,0.815934102326783,1.02802415056103,7
"FakeGeneID003883",0.965385087120423,0.786663953024313,-1.25417978518,-0.497869254964741,5
"FakeGeneID029647",-0.886649258333359,-0.847968127345467,0.89383615433269,0.840781231346136,7
"FakeGeneID014635",0.83002781615212,0.926725113939104,-0.75197424718201,-1.00477868290921,1
"FakeGeneID015716",-0.508937522100147,-1.16769744745927,0.904929830138719,0.771705139420702,3
"FakeGeneID017467",-1.14369134542041,-0.662619073432122,0.991901709525579,0.814408709326956,9
"FakeGeneID009339",0.857960658184024,0.998896231560218,-0.920063538245462,-0.936793351498779,8
"FakeGeneID028578",-0.896984655442615,-0.712685985608723,0.754516511606031,0.855154129445305,7
"FakeGeneID036195",-0.823630495402947,-0.802623959376637,1.06871405915651,0.557540395623077,7
"FakeGeneID012203",-0.749943148025182,-1.04133181911166,1.07585490784031,0.715420059296534,7
"FakeGeneID031942",-0.807280950346349,-0.881230922294045,1.08041490814525,0.608096964495138,7
"FakeGeneID005581",0.82722989859377,1.01187316764977,-0.825538697058967,-1.01356436918457,1
"FakeGeneID018600",-0.651692273720858,-1.10594350883725,0.925121886415067,0.832513896143044,7
"FakeGeneID032698",-0.759731897105288,-1.02437270325519,0.939139278227626,0.84496532213285,7
"FakeGeneID016940",-0.966738660134207,-0.533641094533095,0.606862249419609,0.893517505247693,9
"FakeGeneID010954",-1.00829577244704,-0.809023996374187,0.669237127992157,1.14808264082907,9
"FakeGeneID023691",0.643977776044935,1.05519237920974,-0.647561282333967,-1.0516088729207,1
"FakeGeneID008808",0.694984990916294,0.942727029916767,-0.233379684232012,-1.40433233660105,1
"FakeGeneID018534",-0.585085038172935,-1.0842196176523,1.05283290452505,0.616471751300186,7
"FakeGeneID009320",0.896457618419372,0.924678711856081,-1.12168361774312,-0.699452712532331,8
"FakeGeneID020101",-1.01352223856665,-0.727810520363108,0.875308806538381,0.86602395239137,7
"FakeGeneID029576",0.928224537654437,0.937511588694973,-0.918389593497599,-0.947346532851813,8
"FakeGeneID000687",0.611816230795006,1.05109276875559,-0.819664169537977,-0.843244830012623,8
"FakeGeneID016510",-0.413890076729439,-0.128886480859845,-0.737653872176632,1.28043042976591,6
"FakeGeneID029927",0.740965607526757,0.988901481199234,-0.7338908002814,-0.99597628844459,1
"FakeGeneID005031",0.927602080357899,0.746250807785008,-0.932112078102957,-0.741740810039949,8
"FakeGeneID031799",-0.788750079532628,-0.879196293980064,1.12185242673037,0.546093946782323,4
"FakeGeneID017325",0.812734597830273,0.891644185467065,-0.475758142374693,-1.22862064092264,1
"FakeGeneID028921",0.47918112699695,1.15107067966744,-0.692160080939126,-0.938091725725263,1
"FakeGeneID017816",-0.823448547476544,-0.81728028425481,1.25213895515731,0.388589876574045,4
"FakeGeneID002863",-0.683925453714384,-0.872394763477713,0.589518097839839,0.966802119352258,3
"FakeGeneID003428",-0.463658330035187,-0.881126252395971,-0.0843778268191702,1.42916240925033,6
"FakeGeneID037857",1.0360082702242,0.495020577692821,-0.666416335135884,-0.864612512781137,1
"FakeGeneID023455",0.898558612565241,0.969170929445087,-0.917647331453398,-0.95008221055693,8
"FakeGeneID031424",0.90817563216562,0.750145389330054,-0.810216321450461,-0.848104700045214,8
"FakeGeneID027082",0.898883439800192,0.868434042477935,-0.536794554383215,-1.23052292789491,1
"FakeGeneID024369",-0.988786104830389,-0.577416865426819,0.8692271025095,0.696975867747708,9
"FakeGeneID033451",0.53708590888137,1.00183221547141,-0.979410016895583,-0.559508107457196,8
"FakeGeneID034502",-0.74980658647076,-1.08006878939664,0.818093021039059,1.01178235482834,3
"FakeGeneID007115",-0.724576850312961,-1.0146298022165,0.908284798045218,0.830921854484242,7
"FakeGeneID011324",0.813770594552583,0.968332822898592,-0.545171754199795,-1.23693166325138,1
"FakeGeneID037504",-1.20272376345533,-0.495597392516281,0.606984693836679,1.09133646213493,9
"FakeGeneID006370",0.921541049062708,0.820344922579029,-0.818182747457881,-0.923703224183857,8
"FakeGeneID003203",1.01734431135514,0.723266186064152,-0.555398628927735,-1.18521186849156,1
"FakeGeneID030660",-1.26670439873134,-0.261824634021797,0.284856239985171,1.24367279276797,9
"FakeGeneID034093",-1.10018490023484,-0.709683277680596,0.873150767610207,0.936717410305228,9
"FakeGeneID030168",-0.769753621702431,-1.06274824792924,0.877993138834397,0.954508730797273,7
"FakeGeneID016612",0.879165236709708,0.974550050645447,-0.869184729639993,-0.984530557715164,8
"FakeGeneID031458",1.05280885574198,0.688301769749852,-1.16495299418771,-0.576157631304122,8
"FakeGeneID028614",-1.06981170778203,-0.621316512293817,1.0385721095925,0.652556110483339,7
"FakeGeneID006505",-0.785131104244023,-0.798462677500967,0.940186849958155,0.643406931786835,7
"FakeGeneID025457",-0.913192554849799,-0.794974996800697,0.523610974529917,1.18455657712058,9
"FakeGeneID012256",0.87192776935462,0.818170688558528,-1.16930513966734,-0.520793318245813,5
"FakeGeneID022930",0.700501431743191,1.04167818767803,-1.13261415317569,-0.609565466245526,8
"FakeGeneID017553",-0.844596267174965,-0.90386788377357,0.703072482418582,1.04539166852995,3
"FakeGeneID021828",0.775157077589378,1.03263836977188,-0.820075044060259,-0.987720403301003,1
"FakeGeneID020914",-0.799362879273673,-0.784142567087353,0.591670875828014,0.991834570533012,3
"FakeGeneID017092",0.922543090494315,0.869492163350746,-0.680856090887224,-1.11117916295784,1
"FakeGeneID004108",-0.960254664018953,-0.879528225613016,1.00847923609008,0.831303653541893,7
"FakeGeneID028086",-1.07120353225825,-0.748481296401773,1.04438112641763,0.775303702242392,7
"FakeGeneID024867",1.07532351808544,0.729186647224118,-1.04186029574819,-0.762649869561372,8
"FakeGeneID005243",0.811241426960762,0.898125214908314,-1.05319010216342,-0.656176539705662,8
"FakeGeneID027129",-1.0348137516577,-0.66484766520806,0.69807620321868,1.00158521364708,9
"FakeGeneID025674",0.827429568605323,1.01933919926049,-1.00531927005691,-0.8414494978089,8
"FakeGeneID022017",-0.830930972976206,-0.796050055316694,1.1467937537272,0.480187274565698,4
"FakeGeneID029290",-0.993271723391038,-0.539638455533188,1.16438693962287,0.36852323930135,4
"FakeGeneID000553",0.939990518635223,0.9067671509483,-0.88011495515881,-0.966642714424714,8
"FakeGeneID035826",0.703370737866669,1.02817013909426,-0.527925733257189,-1.20361514370374,1
